"filename", "language", "TypeScript JSX", "CSS", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/utils/auth.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/leeklusky/be-for-reel/client/src/utils/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/leeklusky/be-for-reel/client/src/utils/interfaces.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 5
"/Users/leeklusky/be-for-reel/client/src/utils/mutations.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 3, 62
"/Users/leeklusky/be-for-reel/client/src/utils/queries.tsx", "TypeScript JSX", 46, 0, 0, 0, 0, 0, 1, 47
"/Users/leeklusky/be-for-reel/client/src/utils/typeUtils.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 3, 17
"/Users/leeklusky/be-for-reel/package.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"/Users/leeklusky/be-for-reel/server/controllers/api/email-routes.js", "JavaScript", 0, 0, 0, 0, 143, 8, 16, 167
"/Users/leeklusky/be-for-reel/server/controllers/api/index.js", "JavaScript", 0, 0, 0, 0, 6, 0, 4, 10
"/Users/leeklusky/be-for-reel/server/controllers/api/movie-routes.js", "JavaScript", 0, 0, 0, 0, 46, 4, 11, 61
"/Users/leeklusky/be-for-reel/server/controllers/index.js", "JavaScript", 0, 0, 0, 0, 4, 0, 4, 8
"/Users/leeklusky/be-for-reel/server/controllers/movie-search.js", "JavaScript", 0, 0, 0, 0, -55, -5, -13, -73
"/Users/leeklusky/be-for-reel/server/models/Confirmation.js", "JavaScript", 0, 0, 0, 0, 27, 0, 4, 31
"/Users/leeklusky/be-for-reel/server/models/Poll.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 4
"/Users/leeklusky/be-for-reel/server/models/User.js", "JavaScript", 0, 0, 0, 0, 13, 3, 1, 17
"/Users/leeklusky/be-for-reel/server/models/index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/leeklusky/be-for-reel/server/package.json", "JSON", 0, 0, 2, 0, 0, 0, 0, 2
"/Users/leeklusky/be-for-reel/server/schemas/resolvers.js", "JavaScript", 0, 0, 0, 0, 139, 11, 25, 175
"/Users/leeklusky/be-for-reel/server/schemas/typeDefs.js", "JavaScript", 0, 0, 0, 0, 23, 0, 2, 25
"/Users/leeklusky/be-for-reel/server/utils/auth.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 13
"/Users/leeklusky/be-for-reel/server/utils/typeUtils.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 7
"Total", "-", 1122, 692, 7, 6, 371, 191, 324, 2713
