"filename", "language", "TypeScript JSX", "XML", "CSS", "TypeScript", "JSON with Comments", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.tsx", "TypeScript JSX", 174, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 212
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.css", "CSS", 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 11, 54
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.tsx", "TypeScript JSX", 237, 0, 0, 0, 0, 0, 0, 0, 0, 39, 13, 289
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.css", "CSS", 0, 0, 109, 0, 0, 0, 0, 0, 0, 3, 25, 137
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.tsx", "TypeScript JSX", 140, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 157
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.tsx", "TypeScript JSX", 194, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 242
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/index.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/leeklusky/be-for-reel/client/src/pages/Create/Create.css", "CSS", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 15, 76
"/Users/leeklusky/be-for-reel/client/src/pages/Create/Create.tsx", "TypeScript JSX", 397, 0, 0, 0, 0, 0, 0, 0, 0, 50, 51, 498
"/Users/leeklusky/be-for-reel/client/src/pages/Create/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.css", "CSS", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 15, 94
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/Directory.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 75
"/Users/leeklusky/be-for-reel/client/src/pages/Directory/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/FAQ/FAQ.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 8, 41
"/Users/leeklusky/be-for-reel/client/src/pages/FAQ/FAQ.tsx", "TypeScript JSX", 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 152
"/Users/leeklusky/be-for-reel/client/src/pages/FAQ/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Home/Home.css", "CSS", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 17, 106
"/Users/leeklusky/be-for-reel/client/src/pages/Home/Home.tsx", "TypeScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 132
"/Users/leeklusky/be-for-reel/client/src/pages/Home/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Login/Login.css", "CSS", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/leeklusky/be-for-reel/client/src/pages/Login/Login.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 79
"/Users/leeklusky/be-for-reel/client/src/pages/Login/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.css", "CSS", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 16, 78
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.tsx", "TypeScript JSX", 184, 0, 0, 0, 0, 0, 0, 0, 0, 16, 14, 214
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.css", "CSS", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 23, 123
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.tsx", "TypeScript JSX", 111, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 131
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/SearchResults/SearchResults.css", "CSS", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/leeklusky/be-for-reel/client/src/pages/SearchResults/SearchResults.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 115
"/Users/leeklusky/be-for-reel/client/src/pages/SearchResults/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/TopMovies/TopMovies.css", "CSS", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 10, 55
