"filename", "language", "JSON", "JSON with Comments", "XML", "TypeScript", "Markdown", "CSS", "JavaScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/pages/Login/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 13, 74
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/Poll.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 149, 0, 14, 14, 177
"/Users/leeklusky/be-for-reel/client/src/pages/Poll/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.css", "CSS", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 4, 6, 52
"/Users/leeklusky/be-for-reel/client/src/pages/Profile/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pages/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/leeklusky/be-for-reel/client/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/recoil/atoms/pollDirectoryAtom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/leeklusky/be-for-reel/client/src/reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/leeklusky/be-for-reel/client/src/setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/leeklusky/be-for-reel/client/src/utils/auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 12, 9, 62
"/Users/leeklusky/be-for-reel/client/src/utils/fakedata.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 2, 130
"/Users/leeklusky/be-for-reel/client/src/utils/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"/Users/leeklusky/be-for-reel/client/src/utils/interfaces.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 141, 0, 18, 21, 180
"/Users/leeklusky/be-for-reel/client/src/utils/mutations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 5, 90
"/Users/leeklusky/be-for-reel/client/src/utils/queries.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 5, 104
"/Users/leeklusky/be-for-reel/client/src/utils/typeUtils.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 5, 6, 47
"/Users/leeklusky/be-for-reel/client/tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/leeklusky/be-for-reel/package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/leeklusky/be-for-reel/server/config/connection.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 7, 5, 21
